Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.7351,Wed Jun 27 20:01:05 +0000 2018,0.733,0.267,0.0,"A raw and unfiltered insight into the bloodiest conflict since the Second World War.

Storyville: This is Congo | 1… https://t.co/8biUiR6fAI",1,@BBC
0.4404,Wed Jun 27 19:02:01 +0000 2018,0.637,0.121,0.242,"😂  @Cher's ""criminal"" past is 😳...
#TheGNShow https://t.co/O3bSFbOaO9",2,@BBC
0.0,Wed Jun 27 18:00:25 +0000 2018,1.0,0.0,0.0,🎧 Can you believe DJ Switch only started DJ-ing a year ago? https://t.co/b5CY3vEX7Q,3,@BBC
-0.4215,Wed Jun 27 16:04:05 +0000 2018,0.741,0.259,0.0,Something deadly lies beneath the ice in Iceland... https://t.co/IqWwmtfTkk,4,@BBC
0.0,Wed Jun 27 15:09:27 +0000 2018,1.0,0.0,0.0,"🕺 *Knight Fever* 

Bee Gee Sir Barry Gibb paid tribute to his late brothers as he collected his knighthood on Tuesd… https://t.co/LLIHYKRfhR",5,@BBC
0.0,Wed Jun 27 14:42:13 +0000 2018,1.0,0.0,0.0,RT @bbccomedy: Some writing advice from an expert... #NationalWritingDay @RealMattLucas @davidwalliams https://t.co/lz2MQzpvKY,6,@BBC
0.0,Wed Jun 27 13:05:07 +0000 2018,1.0,0.0,0.0,"French butchers have written to the government asking for protection against militant vegans.
👉… https://t.co/6pgMQ46tUR",7,@BBC
-0.5106,Wed Jun 27 11:52:00 +0000 2018,0.65,0.35,0.0,☕️ How a simple change is cutting coffee cup waste https://t.co/kkbcSZvFn3,8,@BBC
0.9403,Wed Jun 27 11:39:52 +0000 2018,0.536,0.0,0.464,"RT @BBCBreakfast: Dear Summer, ☀️
We're enjoying this lovely weather. Can you stay?
Lots of love - The entire UK x
#heatwave https://t.co/g…",9,@BBC
0.0,Wed Jun 27 11:03:04 +0000 2018,1.0,0.0,0.0,"🦔🧙 Did you know people used to think hedgehogs were witches?

Here are nine things you might not know about the hum… https://t.co/Wj7a5idS4m",10,@BBC
0.0,Wed Jun 27 09:30:20 +0000 2018,1.0,0.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/qVNcgsGM8C",11,@BBC
0.6114,Wed Jun 27 08:47:40 +0000 2018,0.756,0.05,0.194,RT @BBCArchive: Computer geeks - this is your lucky day! You can now watch all 146 original programmes and run 161 programs from the 1980s…,12,@BBC
0.0,Wed Jun 27 08:01:05 +0000 2018,1.0,0.0,0.0,👟 @MumsnetTowers founder @Justine_Roberts on why you should always wear trainers to work. https://t.co/FgTPRo5Agm,13,@BBC
0.5106,Wed Jun 27 07:29:04 +0000 2018,0.809,0.047,0.145,"😴 The colour cyan - between green and blue - is a hidden factor in encouraging or preventing sleep, according to bi… https://t.co/HogBXzm2Y5",14,@BBC
0.4939,Wed Jun 27 07:01:05 +0000 2018,0.856,0.0,0.144,Inside the community where people with learning disabilities and the people who care for them live and work togethe… https://t.co/LurfYqtc84,15,@BBC
0.0,Tue Jun 26 21:20:15 +0000 2018,1.0,0.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",16,@BBC
0.0,Tue Jun 26 19:05:08 +0000 2018,1.0,0.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",17,@BBC
